deviceName,time[sec],objectID,ioTaskID,taskPriority,taskDeadline
device93,190.0,AL111,110,5,12
device72,191.0,CM164,111,3,24
device65,192.0,DQ194,112,4,-1
device95,193.0,AF105,113,0,33
device25,194.0,AB101,114,2,0
device68,195.0,AI108,115,0,40
device41,196.0,BT145,116,4,-1
device20,197.0,AZ125,117,4,17
device94,198.0,AY124,118,0,12
device47,199.0,AY124,119,0,9
device87,200.0,AH107,120,3,-1
device15,201.0,DN191,121,2,7
device21,202.0,BW148,122,3,28
device89,203.0,CB153,123,4,31
device42,204.0,AI108,124,5,-1
device97,205.0,AK110,125,0,24
device42,206.0,AS118,126,2,0
device56,207.0,DS196,127,5,28
device71,208.0,AN113,128,0,-1
device26,209.0,BB127,129,3,9
device72,210.0,DU198,130,3,12
device65,211.0,BL137,131,5,28
device0,212.0,DL189,132,5,-1
device56,213.0,AX123,133,3,9
device18,214.0,DS196,134,4,9
device14,215.0,DL189,135,5,15
device3,216.0,CG158,136,3,-1
device5,217.0,DM190,137,1,18
device55,218.0,CA152,138,2,39
device28,219.0,DK188,139,1,28
device95,220.0,AC102,140,4,-1
device91,221.0,BW148,141,2,17
device19,222.0,BZ151,142,1,6
device67,223.0,BH133,143,2,1
device79,224.0,CA152,144,0,-1
device41,225.0,CT171,145,1,13
device95,226.0,BK136,146,2,33
device55,227.0,DT197,147,0,30
device42,228.0,BI134,148,2,-1
device90,229.0,DD181,149,5,40
device45,230.0,AO114,150,2,39
device18,231.0,DN191,151,1,16
device28,232.0,BE130,152,2,-1
device45,233.0,BY150,153,4,14
device73,234.0,DF183,154,3,1
device70,235.0,AH107,155,3,40
device95,236.0,DU198,156,3,-1
device75,237.0,AI108,157,5,23
device31,238.0,BR143,158,0,20
device88,239.0,AY124,159,1,7
device26,240.0,CZ177,160,3,-1
device77,241.0,CH159,161,3,0
device83,242.0,CZ177,162,5,14
device75,243.0,BB127,163,1,7
device50,244.0,CK162,164,2,-1
device10,245.0,CA152,165,3,14
device63,246.0,BB127,166,0,25
device7,247.0,DP193,167,0,20
device93,248.0,BA126,168,0,-1
device52,249.0,BF131,169,2,34
device39,250.0,DK188,170,5,11
device87,251.0,BD129,171,5,40
device52,252.0,CJ161,172,3,-1
device56,253.0,CC154,173,0,18
device32,254.0,CN165,174,3,6
device9,255.0,AA100,175,4,23
device30,256.0,BE130,176,5,-1
device35,257.0,DC180,177,0,25
device66,258.0,BO140,178,2,35
device87,259.0,AS118,179,1,15
device37,260.0,BG132,180,3,-1
device78,261.0,AN113,181,2,22
device19,262.0,AR117,182,5,2
device90,263.0,CX175,183,4,2
device30,264.0,BN139,184,5,-1
device46,265.0,CJ161,185,1,39
device64,266.0,CF157,186,2,17
device85,267.0,AL111,187,1,39
device12,268.0,BO140,188,2,-1
device22,269.0,DC180,189,0,13
device61,270.0,DA178,190,1,24
device10,271.0,BF131,191,4,12
device36,272.0,BI134,192,1,-1
device60,273.0,AC102,193,3,21
device17,274.0,BM138,194,4,8
device45,275.0,CO166,195,1,37
device60,276.0,AI108,196,5,-1
device51,277.0,AL111,197,5,15
device16,278.0,BZ151,198,2,9
device86,279.0,BM138,199,1,1
device31,280.0,AN113,200,0,-1
device78,281.0,CQ168,201,3,23
device94,282.0,DH185,202,0,12
device43,283.0,CP167,203,3,22
device51,284.0,CN165,204,2,-1
device12,285.0,AO114,205,5,4
device89,286.0,AN113,206,3,20
device71,287.0,AE104,207,3,6
device18,288.0,BM138,208,1,-1
device52,289.0,CP167,209,2,9
device41,290.0,DC180,210,5,33
device90,291.0,DF183,211,5,17
device45,292.0,CJ161,212,0,-1
device69,293.0,AW122,213,2,4
device95,294.0,AW122,214,3,32
device73,295.0,DS196,215,4,39
device72,296.0,CM164,216,3,-1
device11,297.0,DG184,217,4,24
device42,298.0,CT171,218,4,3
device52,299.0,AL111,219,1,4
device70,300.0,DN191,220,1,-1
device8,301.0,AM112,221,4,36
device45,302.0,BQ142,222,2,31
device91,303.0,BT145,223,5,2
device21,304.0,DF183,224,3,-1
device27,305.0,BK136,225,0,36
device22,306.0,BW148,226,3,5
device13,307.0,AZ125,227,1,3
device30,308.0,CH159,228,3,-1
device64,309.0,DK188,229,4,38
device71,310.0,AZ125,230,1,10
device53,311.0,AM112,231,0,11
device53,312.0,DV199,232,1,-1
device35,313.0,AC102,233,5,25
device22,314.0,CD155,234,5,19
device82,315.0,AX123,235,1,0
device1,316.0,AG106,236,1,-1
device92,317.0,CV173,237,5,10
device77,318.0,BU146,238,2,1
device86,319.0,AD103,239,4,13
device92,320.0,AF105,240,5,-1
device21,321.0,DT197,241,1,16
device12,322.0,CA152,242,4,20
device37,323.0,CN165,243,1,21
device36,324.0,BK136,244,4,-1
device12,325.0,AS118,245,0,4
device18,326.0,CT171,246,5,5
device89,327.0,AI108,247,3,34
device88,328.0,DP193,248,2,-1
device59,329.0,AC102,249,3,7
device6,330.0,BZ151,250,4,27
device5,331.0,CR169,251,4,15
device39,332.0,DI186,252,4,-1
device2,333.0,BF131,253,2,30
device19,334.0,AS118,254,0,25
device32,335.0,BF131,255,4,7
device2,336.0,DJ187,256,5,-1
device66,337.0,CL163,257,3,13
device24,338.0,BT145,258,3,17
device64,339.0,DR195,259,3,0
device35,340.0,CS170,260,3,-1
device75,341.0,CL163,261,1,36
device87,342.0,CW174,262,0,13
device1,343.0,AL111,263,0,27
device14,344.0,BU146,264,3,-1
device20,345.0,DO192,265,4,3
device35,346.0,BZ151,266,2,23
device97,347.0,CF157,267,3,21
device53,348.0,CZ177,268,5,-1
device0,349.0,CU172,269,3,37
device98,350.0,DL189,270,3,35
device2,351.0,AP115,271,1,23
device24,352.0,AW122,272,3,-1
device84,353.0,AO114,273,4,35
device41,354.0,AZ125,274,2,31
device94,355.0,BS144,275,4,37
device42,356.0,DV199,276,3,-1
device77,357.0,DI186,277,1,27
device25,358.0,AY124,278,3,33
device13,359.0,BN139,279,2,20
device29,360.0,DF183,280,2,-1
device40,361.0,CS170,281,2,13
device74,362.0,AE104,282,5,23
device49,363.0,DH185,283,2,28
device53,364.0,AA100,284,3,-1
device58,365.0,CB153,285,3,14
device66,366.0,DH185,286,4,39
device75,367.0,DL189,287,3,39
device58,368.0,BQ142,288,3,-1
device71,369.0,AK110,289,2,2
device36,370.0,BG132,290,2,40
device11,371.0,BU146,291,2,1
device5,372.0,BI134,292,4,-1
device71,373.0,AQ116,293,2,37
device63,374.0,DQ194,294,3,38
device31,375.0,BD129,295,3,20
device24,376.0,DI186,296,2,-1
device69,377.0,DP193,297,4,24
device43,378.0,DA178,298,2,9
device40,379.0,AI108,299,2,14
device64,380.0,CP167,300,1,-1
device46,381.0,AE104,301,0,20
device25,382.0,AT119,302,0,30
device93,383.0,DH185,303,4,23
device58,384.0,AF105,304,2,-1
device17,385.0,CW174,305,2,11
device87,386.0,DV199,306,0,3
device87,387.0,AY124,307,2,7
device19,388.0,AE104,308,2,-1
device60,389.0,DC180,309,1,19
device79,390.0,BR143,310,3,19
device77,391.0,DE182,311,0,20
device51,392.0,AQ116,312,5,-1
device2,393.0,BZ151,313,1,30
device57,394.0,BD129,314,1,0
device80,395.0,AJ109,315,4,15
device80,396.0,DE182,316,0,-1
device61,397.0,CD155,317,2,22
device94,398.0,CC154,318,4,4
device67,399.0,BJ135,319,1,34
device48,400.0,BU146,320,5,-1
device54,401.0,BG132,321,4,35
device55,402.0,AD103,322,5,31
device74,403.0,DV199,323,0,31
device28,404.0,AJ109,324,0,-1
device26,405.0,AR117,325,4,27
device81,406.0,AT119,326,5,34
device82,407.0,BP141,327,1,8
device97,408.0,CQ168,328,3,-1
device33,409.0,DL189,329,0,26
device13,410.0,CV173,330,4,13
device59,411.0,BZ151,331,5,10
device41,412.0,BK136,332,3,-1
device66,413.0,BN139,333,5,5
device25,414.0,CK162,334,2,32
device4,415.0,DK188,335,4,26
device61,416.0,AT119,336,4,-1
device74,417.0,BD129,337,2,9
device7,418.0,CB153,338,3,27
device22,419.0,CH159,339,4,7
device76,420.0,DJ187,340,3,-1
device20,421.0,BQ142,341,5,34
device33,422.0,BW148,342,0,12
device75,423.0,DN191,343,2,15
device42,424.0,CD155,344,4,-1
device20,425.0,CS170,345,5,12
device3,426.0,CR169,346,5,35
device22,427.0,AN113,347,1,36
device81,428.0,DP193,348,1,-1
device84,429.0,CM164,349,4,20
device87,430.0,DS196,350,5,40
device31,431.0,BD129,351,4,23
device90,432.0,DH185,352,4,-1
device19,433.0,DI186,353,2,11
device71,434.0,BN139,354,1,38
device52,435.0,DK188,355,0,14
device61,436.0,BZ151,356,3,-1
device2,437.0,CP167,357,0,6
device48,438.0,CV173,358,4,36
device98,439.0,CD155,359,1,4
device44,440.0,AF105,360,3,-1
device28,441.0,CY176,361,2,38
device24,442.0,BV147,362,3,40
device93,443.0,AD103,363,1,19
device4,444.0,BK136,364,2,-1
device36,445.0,AT119,365,1,5
device0,446.0,CK162,366,5,30
device88,447.0,AR117,367,5,8
device25,448.0,DM190,368,2,-1
device81,449.0,CE156,369,4,11
device41,450.0,AF105,370,5,2
device73,451.0,DG184,371,5,14
device2,452.0,DR195,372,0,-1
device56,453.0,CJ161,373,0,39
device4,454.0,CQ168,374,5,25
device58,455.0,CD155,375,4,30
device74,456.0,DA178,376,0,-1
device19,457.0,AS118,377,0,39
device76,458.0,CG158,378,4,40
device76,459.0,AG106,379,1,7
device80,460.0,DP193,380,3,-1
device37,461.0,DI186,381,5,9
device0,462.0,AV121,382,0,10
device56,463.0,CN165,383,2,32
device19,464.0,CS170,384,5,-1
device39,465.0,BR143,385,2,30
device45,466.0,DQ194,386,0,25
device76,467.0,CA152,387,1,0
device55,468.0,BS144,388,2,-1
device11,469.0,BS144,389,5,6
device89,470.0,CN165,390,3,31
device65,471.0,BG132,391,4,29
device85,472.0,DN191,392,0,-1
device73,473.0,BH133,393,2,34
device44,474.0,BE130,394,2,6
device39,475.0,CL163,395,1,14
device53,476.0,AE104,396,3,-1
device83,477.0,CA152,397,1,36
device52,478.0,BI134,398,0,14
device18,479.0,CH159,399,2,19
device19,480.0,CW174,400,0,-1
device2,481.0,BH133,401,3,30
device41,482.0,CE156,402,1,0
device53,483.0,CL163,403,5,33
device47,484.0,AE104,404,4,-1
device45,485.0,CE156,405,0,7
device5,486.0,BU146,406,1,16
device12,487.0,DA178,407,5,6
device38,488.0,BG132,408,1,-1
device39,489.0,DP193,409,5,0
device41,490.0,BA126,410,5,5
device36,491.0,AF105,411,4,40
device84,492.0,DC180,412,2,-1
device42,493.0,CR169,413,4,16
device66,494.0,AL111,414,4,39
device57,495.0,DH185,415,4,11
device88,496.0,DU198,416,5,-1
device41,497.0,AQ116,417,4,23
device14,498.0,BS144,418,1,28
device58,499.0,CE156,419,1,32
device86,500.0,BA126,420,0,-1
device89,501.0,AQ116,421,2,14
device24,502.0,BR143,422,4,21
device50,503.0,AC102,423,3,1
device16,504.0,CO166,424,1,-1
device53,505.0,AN113,425,1,7
device21,506.0,AF105,426,4,12
device38,507.0,DK188,427,2,2
device82,508.0,DC180,428,4,-1
device70,509.0,BR143,429,2,21
device57,510.0,AM112,430,0,35
device32,511.0,BK136,431,5,15
device43,512.0,AS118,432,0,-1
device72,513.0,CL163,433,5,13
device31,514.0,BA126,434,1,26
device24,515.0,BM138,435,0,12
device63,516.0,CY176,436,0,-1
device94,517.0,CB153,437,5,33
device90,518.0,CP167,438,2,11
device25,519.0,CA152,439,1,39
device17,520.0,DC180,440,4,-1
device38,521.0,BL137,441,0,32
device81,522.0,CG158,442,0,23
device56,523.0,DL189,443,3,20
device11,524.0,BU146,444,1,-1
device63,525.0,BR143,445,0,2
device8,526.0,BR143,446,3,35
device19,527.0,BJ135,447,1,30
device97,528.0,CN165,448,1,-1
device62,529.0,AO114,449,3,4
device41,530.0,CT171,450,3,7
device16,531.0,DE182,451,3,30
device92,532.0,DP193,452,4,-1
device1,533.0,DS196,453,1,39
device72,534.0,DC180,454,4,11
device42,535.0,BM138,455,2,21
device78,536.0,DP193,456,5,-1
device3,537.0,AI108,457,5,19
device79,538.0,AR117,458,1,18
device76,539.0,DD181,459,3,19
device0,540.0,AB101,460,4,-1
device53,541.0,CE156,461,4,35
device88,542.0,CI160,462,3,27
device5,543.0,CS170,463,5,13
device36,544.0,AP115,464,4,-1
device39,545.0,BJ135,465,1,18
device40,546.0,DC180,466,4,1
device89,547.0,BH133,467,2,29
device91,548.0,BR143,468,5,-1
device23,549.0,CS170,469,2,31
device89,550.0,CU172,470,2,17
device24,551.0,CN165,471,1,18
device97,552.0,BT145,472,0,-1
device33,553.0,DU198,473,1,21
device36,554.0,DL189,474,4,14
device22,555.0,BE130,475,5,10
device57,556.0,DK188,476,2,-1
device30,557.0,AL111,477,0,40
device12,558.0,CU172,478,4,22
device80,559.0,BA126,479,1,37
device42,560.0,AD103,480,4,-1
device62,561.0,DI186,481,2,21
device23,562.0,CN165,482,5,12
device58,563.0,CI160,483,3,19
device63,564.0,CI160,484,5,-1
device20,565.0,AO114,485,5,10
device54,566.0,DV199,486,0,32
device97,567.0,AZ125,487,1,39
device42,568.0,DC180,488,3,-1
device33,569.0,AC102,489,4,24
device55,570.0,AP115,490,4,14
device71,571.0,BS144,491,3,30
device20,572.0,AY124,492,0,-1
device28,573.0,AB101,493,3,35
device25,574.0,DC180,494,3,30
device24,575.0,DK188,495,1,19
device21,576.0,CA152,496,1,-1
device98,577.0,AY124,497,2,8
device64,578.0,DT197,498,1,28
device97,579.0,DA178,499,2,6
device58,580.0,CR169,500,3,-1
device70,581.0,BA126,501,1,31
device22,582.0,DT197,502,4,29
device37,583.0,CA152,503,5,17
device10,584.0,DS196,504,2,-1
device85,585.0,CQ168,505,5,5
device10,586.0,BM138,506,3,0
device27,587.0,CN165,507,3,10
device59,588.0,CY176,508,1,-1
device7,589.0,DQ194,509,3,0
device51,590.0,DL189,510,1,9
device27,591.0,BH133,511,5,40
device21,592.0,DR195,512,0,-1
device0,593.0,BG132,513,0,31
device61,594.0,BP141,514,0,6
device46,595.0,CZ177,515,0,33
device4,596.0,CT171,516,5,-1
device65,597.0,BV147,517,3,30
device10,598.0,DL189,518,4,27
device58,599.0,CX175,519,3,28
device38,600.0,DV199,520,4,-1
device95,601.0,CV173,521,2,33
device59,602.0,DV199,522,3,22
device24,603.0,DS196,523,1,8
device15,604.0,AL111,524,1,-1
device10,605.0,DP193,525,2,16
device76,606.0,AW122,526,0,18
device97,607.0,BG132,527,5,30
device82,608.0,AO114,528,0,-1
device60,609.0,CL163,529,1,35
device36,610.0,BA126,530,3,17
device55,611.0,DC180,531,0,18
device91,612.0,AD103,532,3,-1
device40,613.0,CJ161,533,2,32
device33,614.0,BF131,534,3,5
device33,615.0,BO140,535,4,11
device0,616.0,CR169,536,3,-1
device63,617.0,DJ187,537,1,18
device37,618.0,DL189,538,4,26
device6,619.0,DL189,539,5,0
device18,620.0,AI108,540,0,-1
device47,621.0,DH185,541,4,13
device55,622.0,BO140,542,2,27
device32,623.0,BM138,543,5,2
device74,624.0,BM138,544,5,-1
device45,625.0,DO192,545,3,35
device69,626.0,BY150,546,3,15
device64,627.0,CI160,547,4,27
device26,628.0,AB101,548,3,-1
device12,629.0,BZ151,549,4,14
device29,630.0,DP193,550,1,22
device34,631.0,CD155,551,2,39
device6,632.0,AP115,552,4,-1
device74,633.0,DD181,553,1,23
device40,634.0,CV173,554,0,18
device81,635.0,DR195,555,5,34
device53,636.0,AL111,556,3,-1
device76,637.0,CP167,557,1,40
device45,638.0,AA100,558,5,15
device23,639.0,AV121,559,2,11
device8,640.0,BJ135,560,2,-1
device61,641.0,AU120,561,5,16
device22,642.0,CP167,562,0,16
device84,643.0,DF183,563,1,12
device21,644.0,BQ142,564,1,-1
device60,645.0,AQ116,565,1,26
device18,646.0,AM112,566,2,9
device77,647.0,AZ125,567,2,17
device43,648.0,DU198,568,5,-1
device45,649.0,CQ168,569,5,25
device70,650.0,AZ125,570,5,28
device8,651.0,CV173,571,2,21
device57,652.0,BA126,572,3,-1
device51,653.0,CN165,573,2,40
device88,654.0,DQ194,574,5,17
device15,655.0,BZ151,575,1,6
device96,656.0,BY150,576,5,-1
device59,657.0,BB127,577,2,20
device24,658.0,DC180,578,2,19
device32,659.0,DJ187,579,1,5
device89,660.0,BA126,580,3,-1
device17,661.0,CP167,581,5,37
device74,662.0,DN191,582,5,27
device34,663.0,BU146,583,4,18
device91,664.0,DL189,584,2,-1
device69,665.0,AL111,585,1,7
device51,666.0,BL137,586,2,39
device40,667.0,AS118,587,3,13
device16,668.0,CB153,588,0,-1
device65,669.0,BC128,589,4,3
device82,670.0,CU172,590,4,25
device74,671.0,DG184,591,5,22
device67,672.0,AZ125,592,2,-1
device66,673.0,CG158,593,1,6
device66,674.0,CQ168,594,5,4
device62,675.0,AJ109,595,1,0
device0,676.0,DM190,596,0,-1
device35,677.0,BS144,597,1,26
device36,678.0,AT119,598,3,22
device53,679.0,AP115,599,5,6
device85,680.0,DN191,600,1,-1
device58,681.0,DM190,601,2,10
device90,682.0,CB153,602,5,19
device56,683.0,BH133,603,3,0
device22,684.0,AT119,604,5,-1
device19,685.0,DH185,605,2,40
device85,686.0,BW148,606,4,14
device77,687.0,AN113,607,5,36
device31,688.0,BH133,608,0,-1
device11,689.0,AO114,609,3,7
device69,690.0,DV199,610,2,29
device37,691.0,CJ161,611,0,19
device58,692.0,AA100,612,5,-1
device63,693.0,CQ168,613,0,3
device71,694.0,AI108,614,1,24
device48,695.0,CM164,615,3,19
device9,696.0,CS170,616,5,-1
device30,697.0,BB127,617,1,3
device93,698.0,BP141,618,4,3
device4,699.0,CQ168,619,5,37
device89,700.0,BT145,620,3,-1
device20,701.0,BG132,621,1,20
device56,702.0,CL163,622,0,21
device8,703.0,BJ135,623,5,21
device6,704.0,BL137,624,0,-1
device54,705.0,DN191,625,5,38
device55,706.0,BH133,626,5,3
device40,707.0,BM138,627,1,39
device24,708.0,DB179,628,4,-1
device57,709.0,BJ135,629,2,0
device57,710.0,BP141,630,5,8
device30,711.0,AQ116,631,3,36
device48,712.0,BG132,632,4,-1
device14,713.0,BO140,633,4,14
device12,714.0,CA152,634,4,28
device77,715.0,BL137,635,0,16
device32,716.0,CE156,636,0,-1
device22,717.0,AR117,637,0,3
device6,718.0,AT119,638,3,8
device75,719.0,DU198,639,1,27
device53,720.0,AD103,640,1,-1
device1,721.0,BD129,641,2,14
device62,722.0,BI134,642,2,19
device18,723.0,CG158,643,1,10
device47,724.0,BW148,644,5,-1
device30,725.0,AX123,645,2,1
device61,726.0,DC180,646,5,32
device15,727.0,BP141,647,2,9
device24,728.0,DM190,648,0,-1
device80,729.0,AL111,649,1,14
device74,730.0,BI134,650,2,10
device53,731.0,DV199,651,5,20
device4,732.0,CX175,652,1,-1
device52,733.0,CZ177,653,1,37
device41,734.0,BH133,654,0,13
device92,735.0,AB101,655,2,20
device25,736.0,CP167,656,1,-1
device95,737.0,BA126,657,1,15
device17,738.0,BB127,658,4,18
device34,739.0,BJ135,659,3,4
device52,740.0,BY150,660,0,-1
device88,741.0,AB101,661,0,3
device63,742.0,CI160,662,0,7
device5,743.0,AJ109,663,1,2
device30,744.0,AB101,664,0,-1
device35,745.0,CB153,665,1,3
device87,746.0,BU146,666,2,40
device8,747.0,AJ109,667,3,17
device14,748.0,AE104,668,2,-1
device87,749.0,BB127,669,0,16
device59,750.0,AW122,670,4,16
device53,751.0,CG158,671,1,10
device38,752.0,AJ109,672,3,-1
device94,753.0,BI134,673,3,10
device64,754.0,BI134,674,2,25
device86,755.0,BV147,675,2,1
device46,756.0,AL111,676,1,-1
device63,757.0,DG184,677,2,38
device95,758.0,BI134,678,4,32
device90,759.0,AN113,679,0,30
device28,760.0,AF105,680,5,-1
device47,761.0,DK188,681,3,27
device48,762.0,CQ168,682,2,24
device14,763.0,BQ142,683,1,21
device6,764.0,CC154,684,2,-1
device64,765.0,BE130,685,0,26
device93,766.0,CO166,686,5,9
device90,767.0,AX123,687,5,30
device65,768.0,AV121,688,0,-1
device52,769.0,BX149,689,4,11
device7,770.0,CB153,690,5,29
device11,771.0,CS170,691,0,28
device80,772.0,BO140,692,5,-1
device58,773.0,AS118,693,4,27
device12,774.0,CK162,694,2,8
device58,775.0,AV121,695,3,22
device47,776.0,CI160,696,5,-1
device18,777.0,DC180,697,3,18
device68,778.0,CP167,698,3,12
device39,779.0,DP193,699,2,40
device30,780.0,CB153,700,3,-1
device67,781.0,BQ142,701,2,18
device3,782.0,CN165,702,0,25
device38,783.0,CK162,703,4,37
device21,784.0,DJ187,704,3,-1
device87,785.0,CI160,705,4,12
device7,786.0,AU120,706,1,6
device86,787.0,BP141,707,2,17
device18,788.0,AJ109,708,4,-1
device36,789.0,BM138,709,1,39
device73,790.0,CN165,710,0,2
device89,791.0,CB153,711,1,38
device27,792.0,AW122,712,2,-1
device0,793.0,BX149,713,5,14
device6,794.0,BL137,714,2,14
device92,795.0,AN113,715,0,5
device72,796.0,BZ151,716,1,-1
device89,797.0,CE156,717,4,11
device64,798.0,AL111,718,0,22
device79,799.0,DV199,719,3,34
device51,800.0,CY176,720,4,-1
device96,801.0,BS144,721,3,7
device43,802.0,AT119,722,1,11
device14,803.0,DR195,723,2,13
device86,804.0,AP115,724,1,-1
device8,805.0,CL163,725,5,27
device35,806.0,BD129,726,1,29
device18,807.0,DL189,727,4,28
device50,808.0,BS144,728,3,-1
device67,809.0,CC154,729,5,1
device7,810.0,DK188,730,3,26
device71,811.0,BX149,731,0,40
device29,812.0,AQ116,732,3,-1
device90,813.0,BX149,733,2,38
device13,814.0,CQ168,734,3,13
device75,815.0,AB101,735,5,39
device63,816.0,CU172,736,0,-1
device77,817.0,DK188,737,0,16
device93,818.0,DL189,738,4,19
device89,819.0,CB153,739,2,4
device57,820.0,CU172,740,5,-1
device5,821.0,AC102,741,2,21
device23,822.0,AQ116,742,0,14
device17,823.0,BJ135,743,4,12
device52,824.0,AN113,744,1,-1
device80,825.0,CN165,745,1,21
device81,826.0,BL137,746,4,17
device17,827.0,DE182,747,2,27
device25,828.0,AM112,748,5,-1
device26,829.0,DL189,749,4,19
device81,830.0,CI160,750,3,22
device79,831.0,AN113,751,5,15
device10,832.0,BB127,752,2,-1
device29,833.0,AZ125,753,2,11
device13,834.0,CT171,754,0,12
device70,835.0,DM190,755,3,34
device83,836.0,AS118,756,4,-1
device32,837.0,DJ187,757,4,6
device5,838.0,DB179,758,4,33
device57,839.0,BT145,759,3,23
device98,840.0,CB153,760,5,-1
device66,841.0,BN139,761,3,36
device51,842.0,BP141,762,4,10
device90,843.0,DL189,763,1,26
device96,844.0,AD103,764,0,-1
device30,845.0,DS196,765,3,33
device46,846.0,CD155,766,2,15
device64,847.0,AV121,767,0,13
device33,848.0,AV121,768,5,-1
device91,849.0,CG158,769,1,23
device27,850.0,CH159,770,2,39
device41,851.0,AS118,771,1,24
device16,852.0,AQ116,772,3,-1
device55,853.0,BV147,773,4,35
device84,854.0,BV147,774,2,9
device76,855.0,AZ125,775,3,6
device13,856.0,DR195,776,2,-1
device84,857.0,CB153,777,3,13
device7,858.0,BW148,778,1,14
device94,859.0,DC180,779,5,30
device48,860.0,CD155,780,4,-1
device55,861.0,BR143,781,2,0
device70,862.0,BP141,782,1,36
device1,863.0,CX175,783,0,6
device20,864.0,CB153,784,0,-1
device24,865.0,AK110,785,4,2
device27,866.0,AX123,786,5,33
device59,867.0,AR117,787,5,38
device96,868.0,AZ125,788,1,-1
device9,869.0,CN165,789,4,40
device30,870.0,DL189,790,4,35
device81,871.0,BX149,791,2,8
device2,872.0,BZ151,792,4,-1
device82,873.0,DO192,793,1,6
device68,874.0,AV121,794,1,18
device24,875.0,DF183,795,5,7
device38,876.0,DB179,796,4,-1
device34,877.0,AR117,797,3,36
device93,878.0,CU172,798,3,8
device75,879.0,DM190,799,5,12
device6,880.0,DI186,800,0,-1
device59,881.0,BK136,801,3,23
